ID	parentID	status	scientificName	rank
SYN1273	1273	synonym	Aster tradescantii	species
SYN1716	1715	synonym	Cornus alba	species
SYN1323	1323	synonym	Kochia	unranked
SYN3610	3610	synonym	Oxycoccus	genus
SYN3331	3331	synonym	Cucubalus	genus
1174	4213	accepted	× Anthemicaria hampeana	species
1401	4223	accepted	× Calammophila baltica	species
2019	4243	accepted	× Festulolium braunii	species
3892	4243	accepted	× Festulolium loliaceum	species
3567	4296	accepted	× Triticosecale rimpaui	species
1000	2856	accepted	Abies	genus
1001	1000	accepted	Abies alba	species
1002	1000	accepted	Abies grandis	species
1003	1000	accepted	Abies nordmanniana	species
1004	1000	accepted	Abies veitchii	species
1005	2534	accepted	Abutilon	genus
1006	1005	accepted	Abutilon theophrasti	species
1007	3736	accepted	Acer	genus
SYN3736	3736	synonym	Aceraceae	unranked
1013	2706	accepted	Aceras	genus
1014	1013	accepted	Aceras anthropophorum	species
1008	1007	accepted	Acer campestre	species
1009	1007	accepted	Acer negundo	species
1010	1007	accepted	Acer platanoides	species
1011	1007	accepted	Acer pseudoplatanus	species
1012	1007	accepted	Acer saccharinum	species
1015	1280	accepted	Achillea	genus
1016	1015	accepted	Achillea millefolium	species
1017	1015	accepted	Achillea ptarmica	species
1018	3056	accepted	Aconitum	genus
1019	1018	accepted	Aconitum napellus	species
1020	1018	accepted	Aconitum vulparia	species
1021	1211	accepted	Acorus	genus
1022	1021	accepted	Acorus calamus	species
1023	3056	accepted	Actaea	genus
1024	1023	accepted	Actaea spicata	species
1025	1028	accepted	Actinidia	genus
1028	x6	accepted	Actinidiaceae	family
1026	1025	accepted	Actinidia chinensis	species
1027	1025	accepted	Actinidia deliciosa	species
1030	4209	accepted	Adiantum capillus-veneris	species
1031	4209	accepted	Adiantum diaphanum	species
1032	4209	accepted	Adiantum raddianum	species
1033	3056	accepted	Adonis	genus
1034	1033	accepted	Adonis aestivalis	species
1035	1033	accepted	Adonis annua	species
1036	1033	accepted	Adonis flammea	species
1037	1033	accepted	Adonis vernalis	species
1038	1040	accepted	Adoxa	genus
1040	x6	accepted	Adoxaceae	family
1039	1038	accepted	Adoxa moschatellina	species
1041	1198	accepted	Aegopodium	genus
1042	1041	accepted	Aegopodium podagraria	species
1043	3736	accepted	Aesculus	genus
SYN3738	3738	synonym	Aesculus × carnea	species
3738	1043	accepted	Aesculus carnea	species
1044	1043	accepted	Aesculus hippocastanum	species
1045	1198	accepted	Aethusa	genus
1046	1045	accepted	Aethusa cynapium	species
1047	3732	accepted	Aframomum	genus
1048	1047	accepted	Aframomum melegueta	species
1049	3139	accepted	Agrimonia	genus
1050	1049	accepted	Agrimonia eupatoria	species
1051	1049	accepted	Agrimonia procera	species
SYN3739	3739	synonym	Agropyron caninum	species
SYN3740	3740	synonym	Agropyron junceum	species
SYN3741	3741	synonym	Agropyron pungens	species
SYN3742	3742	synonym	Agropyron repens	species
1052	1538	accepted	Agrostemma	genus
1053	1052	accepted	Agrostemma githago	species
1054	1052	accepted	Agrostemma gracilis	species
1055	2901	accepted	Agrostis	genus
1056	1055	accepted	Agrostis canina	species
3744	1055	accepted	Agrostis capillaris	species
1057	1055	accepted	Agrostis castellana	species
1058	1055	accepted	Agrostis gigantea	species
1059	1055	accepted	Agrostis stolonifera	species
SYN3743	3743	synonym	Agrostis stolonifera marina	subspecies
3743	2901	accepted	Agrostis stolonifera subsp. marina	subspecies
SYN3744	3744	synonym	Agrostis tenuis	species
1060	1055	accepted	Agrostis vinealis	species
1061	3346	accepted	Ailanthus	genus
1062	1061	accepted	Ailanthus altissima	species
1063	2901	accepted	Aira	genus
1064	1063	accepted	Aira caryophyllea	species
1065	1063	accepted	Aira praecox	species
1066	2347	accepted	Ajuga	genus
1067	1066	accepted	Ajuga chamaepitys	species
1068	1066	accepted	Ajuga genevensis	species
1069	1066	accepted	Ajuga pyramidalis	species
1070	1066	accepted	Ajuga reptans	species
1071	4210	accepted	Alcea rosea	species
1072	3139	accepted	Alchemilla	genus
1073	1072	accepted	Alchemilla acutiloba	species
1074	1072	accepted	Alchemilla filicaulis	species
1075	1072	accepted	Alchemilla glabra	species
SYN3745	3745	synonym	Alchemilla gracilis	species
3745	1072	accepted	Alchemilla micans	species
1076	1072	accepted	Alchemilla mollis	species
1077	1072	accepted	Alchemilla monticola	species
1078	1072	accepted	Alchemilla subcrenata	species
3746	1072	accepted	Alchemilla vulgaris	species
1079	1072	accepted	Alchemilla xanthochlora	species
1080	1944	accepted	Aldrovanda	genus
1081	1085	accepted	Alisma	genus
1082	1081	accepted	Alisma gramineum	species
1083	1081	accepted	Alisma lanceolatum	species
1084	1081	accepted	Alisma plantago-aquatica	species
1085	x6	accepted	Alismataceae	family
1086	3848	accepted	Alliaria	genus
1087	1086	accepted	Alliaria petiolata	species
1088	2423	accepted	Allium	genus
1089	1088	accepted	Allium carinatum	species
1090	1088	accepted	Allium cepa	species
1091	1088	accepted	Allium oleraceum	species
1092	1088	accepted	Allium paradoxum	species
1093	1088	accepted	Allium porrum	species
1094	1088	accepted	Allium sativum	species
1095	1088	accepted	Allium schoenoprasum	species
1096	1088	accepted	Allium scorodoprasum	species
1097	1088	accepted	Allium triquetrum	species
1098	1088	accepted	Allium ursinum	species
1099	1088	accepted	Allium vineale	species
1100	1088	accepted	Allium zebdanense	species
1101	1343	accepted	Alnus	genus
1102	1101	accepted	Alnus cordata	species
1103	1101	accepted	Alnus glutinosa	species
1104	1101	accepted	Alnus incana	species
1105	1101	accepted	Alnus viridis	species
1106	2901	accepted	Alopecurus	genus
1112	1106	accepted	Alopecurus × hybridus	species
1107	1106	accepted	Alopecurus aequalis	species
1108	1106	accepted	Alopecurus bulbosus	species
1109	1106	accepted	Alopecurus geniculatus	species
1110	1106	accepted	Alopecurus myosuroides	species
1111	1106	accepted	Alopecurus pratensis	species
1113	2534	accepted	Althaea	genus
1114	1113	accepted	Althaea hirsuta	species
1115	1113	accepted	Althaea officinalis	species
1116	1113	accepted	Althaea rosea	species
1117	3848	accepted	Alyssum	genus
1118	1117	accepted	Alyssum alyssoides	species
1119	1117	accepted	Alyssum saxatile	species
1120	x6	accepted	Amaranthaceae	family
1121	1120	accepted	Amaranthus	genus
1122	1121	accepted	Amaranthus albus	species
1123	1121	accepted	Amaranthus blitoides	species
3749	1121	accepted	Amaranthus blitum	species
1124	1121	accepted	Amaranthus caudatus	species
1125	1121	accepted	Amaranthus deflexus	species
1126	1121	accepted	Amaranthus graecizans	species
1127	1121	accepted	Amaranthus hybridus	species
SYN3747	3747	synonym	Amaranthus hybridus bouchonii	subspecies
SYN3748	3748	synonym	Amaranthus hybridus hybridus	subspecies
3747	1120	accepted	Amaranthus hybridus subsp. bouchonii	subspecies
3748	1120	accepted	Amaranthus hybridus subsp. hybridus	subspecies
SYN3749	3749	synonym	Amaranthus lividus	species
1128	1121	accepted	Amaranthus palmeri	species
1129	1121	accepted	Amaranthus retroflexus	species
1130	1121	accepted	Amaranthus rudis	species
1131	1121	accepted	Amaranthus standleyanus	species
1132	x6	accepted	Amaryllidaceae	family
1133	1280	accepted	Ambrosia	genus
1134	1133	accepted	Ambrosia artemisiifolia	species
SYN3750	3750	synonym	Ambrosia coronopifolia	species
3750	1133	accepted	Ambrosia psilostachya	species
1135	1133	accepted	Ambrosia trifida	species
1136	3139	accepted	Amelanchier	genus
1137	1136	accepted	Amelanchier lamarckii	species
1138	1198	accepted	Ammi	genus
1139	1138	accepted	Ammi majus	species
1140	1138	accepted	Ammi visnaga	species
1141	2901	accepted	Ammophila	genus
1142	1141	accepted	Ammophila arenaria	species
1143	1352	accepted	Amsinckia	genus
1144	1143	accepted	Amsinckia menziesii	species
1145	2706	accepted	Anacamptis	genus
1146	1145	accepted	Anacamptis pyramidalis	species
1147	x6	accepted	Anacardiaceae	family
1148	2988	accepted	Anagallis	genus
1149	1148	accepted	Anagallis arvensis	species
SYN3751	3751	synonym	Anagallis arvensis arvensis	subspecies
SYN3752	3752	synonym	Anagallis arvensis foemina	subspecies
3751	2988	accepted	Anagallis arvensis subsp. arvensis	subspecies
3752	2988	accepted	Anagallis arvensis subsp. foemina	subspecies
SYN3753	3753	synonym	Anagallis minima	species
1150	1148	accepted	Anagallis tenella	species
1151	4211	accepted	Anaphalis margaritacea	species
1152	1352	accepted	Anchusa	genus
1155	1152	accepted	Anchusa × baumgartenii	species
3965	1152	accepted	Anchusa arvensis	species
1153	1152	accepted	Anchusa ochroleuca	species
1154	1152	accepted	Anchusa officinalis	species
1156	1944	accepted	Andromeda	genus
1157	1156	accepted	Andromeda polifolia	species
1158	3056	accepted	Anemone	genus
1159	1158	accepted	Anemone apennina	species
1160	1158	accepted	Anemone blanda	species
1161	1158	accepted	Anemone nemorosa	species
1162	1158	accepted	Anemone ranunculoides	species
1163	1198	accepted	Anethum	genus
1164	1163	accepted	Anethum graveolens	species
1165	1198	accepted	Angelica	genus
1166	1165	accepted	Angelica archangelica	species
1167	1165	accepted	Angelica sylvestris	species
1168	4212	accepted	Anisantha diandra	species
1169	4212	accepted	Anisantha madritensis	species
3805	4212	accepted	Anisantha sterilis	species
3806	4212	accepted	Anisantha tectorum	species
1170	2534	accepted	Anoda	genus
1171	1170	accepted	Anoda cristata	species
1172	1280	accepted	Antennaria	genus
1173	1172	accepted	Antennaria dioica	species
1175	1280	accepted	Anthemis	genus
1176	1175	accepted	Anthemis arvensis	species
1177	1175	accepted	Anthemis cotula	species
1178	1175	accepted	Anthemis tinctoria	species
1179	2423	accepted	Anthericum	genus
1180	1179	accepted	Anthericum liliago	species
1181	2901	accepted	Anthoxanthum	genus
1182	1181	accepted	Anthoxanthum aristatum	species
1183	1181	accepted	Anthoxanthum odoratum	species
1184	1198	accepted	Anthriscus	genus
1185	1184	accepted	Anthriscus caucalis	species
1186	1184	accepted	Anthriscus cerefolium	species
1187	1184	accepted	Anthriscus sylvestris	species
1188	1999	accepted	Anthyllis	genus
1189	1188	accepted	Anthyllis vulneraria	species
1190	3808	accepted	Antirrhinum	genus
1191	1190	accepted	Antirrhinum majus	species
SYN3754	3754	synonym	Antirrhinum orontium	species
1192	2901	accepted	Apera	genus
1193	1192	accepted	Apera interrupta	species
1194	1192	accepted	Apera spica-venti	species
1195	3139	accepted	Aphanes	genus
1196	1195	accepted	Aphanes arvensis	species
1197	1195	accepted	Aphanes australis	species
1198	x6	accepted	Apiaceae	family
1199	1198	accepted	Apium	genus
1200	1199	accepted	Apium graveolens	species
1201	1199	accepted	Apium inundatum	species
1202	1199	accepted	Apium nodiflorum	species
1203	1199	accepted	Apium repens	species
3766	x6	accepted	Apocynaceae	family
1204	x6	accepted	Aquifoliaceae	family
1205	3056	accepted	Aquilegia	genus
1206	1205	accepted	Aquilegia vulgaris	species
1207	3848	accepted	Arabidopsis	genus
3755	1207	accepted	Arabidopsis arenosa	species
1208	1207	accepted	Arabidopsis thaliana	species
1209	3848	accepted	Arabis	genus
SYN3755	3755	synonym	Arabis arenosa	species
4166	1209	accepted	Arabis glabra	species
1210	1209	accepted	Arabis hirsuta	species
SYN3756	3756	synonym	Arabis hirsuta hirsuta	subspecies
SYN3757	3757	synonym	Arabis hirsuta planisiliqua	subspecies
SYN3758	3758	synonym	Arabis hirsuta sagittata	subspecies
3756	3848	accepted	Arabis hirsuta subsp. hirsuta	subspecies
3757	3848	accepted	Arabis hirsuta subsp. planisiliqua	subspecies
3758	3848	accepted	Arabis hirsuta subsp. sagittata	subspecies
1211	x6	accepted	Araceae	family
1212	1999	accepted	Arachis	genus
1213	1212	accepted	Arachis hypogaea	species
1214	x6	accepted	Araliaceae	family
1215	1280	accepted	Arctium	genus
1216	1215	accepted	Arctium lappa	species
1217	1215	accepted	Arctium minus	species
1218	1280	accepted	Arctium minus subsp. pubens	subspecies
1219	1215	accepted	Arctium tomentosum	species
1220	1944	accepted	Arctostaphylos	genus
1221	1220	accepted	Arctostaphylos uva-ursi	species
1222	x6	accepted	Arecaceae	family
1223	1538	accepted	Arenaria	genus
